"Reference","Value","Description","Distributer"
"U5","UC3842N","Single ended 500KHz current mode PWM controller with 16V/10V UVLO 100% duty cycle, 0C to 70C","https://robu.in/product/uc3842n-texas-instruments-12v28v-pdip-8-ac-dc-controllers-and-regulators-rohs/"
"U6","MCP4725xxx-xCH","12-bit Digital-to-Analog Converter, integrated EEPROM, I2C interface, SOT-23-6",""
"U7","MCP4725xxx-xCH","12-bit Digital-to-Analog Converter, integrated EEPROM, I2C interface, SOT-23-6",""
"U8","DM-OLED096-636","1.3” 128 X 64 MONOCHROME GRAPHIC OLED DISPLAY MODULE - I2C","https://robu.in/product/1-3-inch-i2c-oled-display-module-4-pin-white/"
"U9","AP2112K-3.3","600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5","https://robu.in/product/ams1117-3-3-ldo-800ma-dc-5v-3-3v-step-power-supply-module/"
"U10","Optocoupler_DC_PhotoNPN_AKEC","Generic DC optocoupler with NPN phototransistor output, pins order: anode/cathode/emitter/collector, PC814",""
"U11","TL431D","Shunt Regulator, SO-8","https://www.tomsonelectronics.com/products/transistor-tl-431"
"X2","B2P-VH","2 Position Adapter Connector Receptacle, Female Sockets To Receptacle, Female Sockets 0.156 (3.96mm)","https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/"
"X3","B2P-VH","2 Position Adapter Connector Receptacle, Female Sockets To Receptacle, Female Sockets 0.156 (3.96mm)","https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/"
"X4","B2P-VH","2 Position Adapter Connector Receptacle, Female Sockets To Receptacle, Female Sockets 0.156 (3.96mm)","https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/"
"X5","B2P-VH","2 Position Adapter Connector Receptacle, Female Sockets To Receptacle, Female Sockets 0.156 (3.96mm)","https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/"
"X6","B2P-VH","2 Position Adapter Connector Receptacle, Female Sockets To Receptacle, Female Sockets 0.156 (3.96mm)","https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/"
